Species,Sepal.Length
0,7.00
0,11.00
0,8.00
0,12.00
0,13.00
0,4.00
0,9.00
0,12.00
0,9.00
0,8.00
0,14.00
0,8.00
0,10.00
0,9.00
0,5.00
0,12.00
0,6.00
0,4.00
0,7.00
0,14.00
0,12.00
0,10.00
0,9.00
0,17.00
0,10.00
0,10.00
0,9.00
0,9.00
0,7.00
0,6.00
0,14.00
0,12.00
0,10.00
0,11.00
0,3.00
0,8.00
0,11.00
0,6.00
0,7.00
0,6.00
0,5.00
0,8.00
0,8.00
0,7.00
0,6.00
0,5.00
0,6.00
0,8.00
0,7.00
0,12.00
0,4.00
0,8.00
0,11.00
0,5.00
0,9.00
0,6.00
0,5.00
0,10.00
0,12.00
0,8.00
0,10.00
0,5.00
0,8.00
0,7.00
0,11.00
0,8.00
0,11.00
0,11.00
0,11.00
0,8.00
0,11.00
0,9.00
0,10.00
0,1.00
0,8.00
0,6.00
0,8.00
0,9.00
0,7.00
0,5.00
0,6.00
0,10.00
0,8.00
0,11.00
0,5.00
0,8.00
0,16.00
0,12.00
0,12.00
0,6.00
0,5.00
0,10.00
0,7.00
0,10.00
0,7.00
0,6.00
0,11.00
0,5.00
0,8.00
0,9.00
0,9.00
0,7.00
0,8.00
0,14.00
0,8.00
0,12.00
0,13.00
0,9.00
0,8.00
0,6.00
0,13.00
0,7.00
0,4.00
0,14.00
0,10.00
0,5.00
0,9.00
0,14.00
0,9.00
0,8.00
0,10.00
0,7.00
0,7.00
0,6.00
0,7.00
0,15.00
0,6.00
0,5.00
0,5.00
0,10.00
0,9.00
0,12.00
0,10.00
0,10.00
0,9.00
0,10.00
0,11.00
0,11.00
0,15.00
0,8.00
0,7.00
0,8.00
0,3.00
0,6.00
0,12.00
0,6.00
0,6.00
0,5.00
0,6.00
0,10.00
1,10.00
1,7.00
1,6.00
1,5.00
1,4.00
1,6.00
1,7.00
1,5.00
1,6.00
1,5.00
1,7.00
1,6.00
1,8.00
1,6.00
1,6.00
1,7.00
1,9.00
1,5.00
1,6.00
1,5.00
1,8.00
1,5.00
1,10.00
1,9.00
1,8.00
1,8.00
1,6.00
1,7.00
1,10.00
1,7.00
1,10.00
1,6.00
1,8.00
1,5.00
1,7.00
1,7.00
1,5.00
1,7.00
1,11.00
1,11.00
1,5.00
1,6.00
1,13.00
1,8.00
1,11.00
1,7.00
1,6.00
1,8.00
1,4.00
1,7.00
1,5.00
1,12.00
1,8.00
1,7.00
1,6.00
1,10.00
1,6.00
1,5.00
1,4.00
1,4.00
1,7.00
1,5.00
1,5.00
1,8.00
1,3.00
1,8.00
1,6.00
1,6.00
1,9.00
1,11.00
1,5.00
1,12.00
1,9.00
1,8.00
1,3.00
1,6.00
1,7.00
1,7.00
1,8.00
1,11.00
1,8.00
1,6.00
1,7.00
1,3.00
1,5.00
1,6.00
1,5.00
1,10.00
1,4.00
1,9.00
1,7.00
1,8.00
1,4.00
1,8.00
1,6.00
1,8.00
1,6.00
1,12.00
1,12.00
1,8.00
1,5.00
1,5.00
1,7.00
1,5.00
1,7.00
1,9.00
1,4.00
1,6.00
1,7.00
1,10.00
1,11.00
1,10.00
1,8.00
1,12.00
1,7.00
1,7.00
1,6.00
1,6.00
1,2.00
1,7.00
1,10.00
1,1.00
1,3.00
1,4.00
1,9.00
1,9.00
1,12.00
1,7.00
1,3.00
1,8.00
1,9.00
1,4.00
1,6.00
1,5.00
1,3.00
1,6.00
1,3.00
1,5.00
1,3.00
1,8.00
1,5.00
1,4.00
1,3.00
1,10.00
1,9.00
1,9.00
1,13.00
1,4.00
1,4.00
1,9.00
